Location,Month,Model,RMSE,MAE
Sasa,Sep,GRU,90.0761729168481,86.74959615071613
Sasa,Sep,LSTM-GRU,96.26887462480745,92.98349812825519
Sasa,Sep,BiLSTM,96.03715745374276,92.42954305013019
Sasa,Sep,Transformer,96.05868644220129,88.49261779785155
Sasa,Oct,ARIMA,116.63628820988792,90.7846437128871
Sasa,Oct,LSTM,96.89983277426592,63.48074645996095
Sasa,Oct,GRU,95.0253150265458,63.28522033691407
Sasa,Oct,LSTM-GRU,88.72929842951305,60.004290771484385
Sasa,Oct,BiLSTM,95.43437560043179,62.70946044921876
Sasa,Oct,Transformer,100.15399442605279,65.32786865234375
Sasa,Nov,ARIMA,73.82543215246113,62.077070474724856
Sasa,Nov,LSTM,34.14796879796874,28.131181844075517
Sasa,Nov,GRU,36.17754741364969,22.42348429361979
Sasa,Nov,LSTM-GRU,35.679702136135866,27.746889241536454
Sasa,Nov,BiLSTM,37.28323132593938,27.31668294270833
Sasa,Nov,Transformer,38.66087436112684,25.399098714192704
Sasa,Dec,ARIMA,357.0189804545217,278.2823446780331
Sasa,Dec,LSTM,94.90963110445978,83.50372263590495
Sasa,Dec,GRU,96.71185414333766,86.03963928222656
Sasa,Dec,LSTM-GRU,92.96073662963184,81.84360707600912
Sasa,Dec,BiLSTM,95.01266181258899,83.14663899739584
Sasa,Dec,Transformer,95.3543785413909,83.00894368489584
BagoOshiro,Jan,ARIMA,72.14515677357292,67.75518718725624
BagoOshiro,Jan,LSTM,125.1875127537211,89.91250305175781
BagoOshiro,Jan,GRU,126.64385074890318,89.1003438313802
BagoOshiro,Jan,LSTM-GRU,125.2396920590498,89.46476949055989
BagoOshiro,Jan,BiLSTM,123.88672175986365,89.18033040364583
BagoOshiro,Jan,Transformer,140.98681656206548,99.35834248860677
BagoOshiro,Feb,ARIMA,54.56592974769611,37.64705763724412
BagoOshiro,Feb,LSTM,158.95740311323115,136.49293823242186
BagoOshiro,Feb,GRU,158.85002221403286,135.48458150227864
BagoOshiro,Feb,LSTM-GRU,158.90729672122526,136.6012196858724
BagoOshiro,Feb,BiLSTM,158.4575157806283,136.23422800699868
BagoOshiro,Feb,Transformer,166.7662504913183,146.1094797770182
