Location,Month,Year,Model,Actual,Predicted
Malaybalay,Oct,2012,BiLSTM,175.5,336.56427001953125
Malaybalay,Oct,2012,Transformer,175.5,296.6284484863281
Malaybalay,Oct,2013,ARIMA,325.8,
Malaybalay,Oct,2013,LSTM,325.8,345.5323181152344
Malaybalay,Oct,2013,GRU,325.8,320.5076599121094
Malaybalay,Oct,2013,LSTM-GRU,325.8,337.3789367675781
Malaybalay,Oct,2013,BiLSTM,325.8,333.3518981933594
Malaybalay,Oct,2013,Transformer,325.8,296.6284484863281
Malaybalay,Nov,1952,ARIMA,329.7,326.283803082893
Malaybalay,Nov,1952,LSTM,329.7,
Malaybalay,Nov,1952,GRU,329.7,
Malaybalay,Nov,1952,LSTM-GRU,329.7,
Malaybalay,Nov,1952,BiLSTM,329.7,
Malaybalay,Nov,1952,Transformer,329.7,
Malaybalay,Nov,1953,ARIMA,323.5,326.25826258668
Malaybalay,Nov,1953,LSTM,323.5,
Malaybalay,Nov,1953,GRU,323.5,
Malaybalay,Nov,1953,LSTM-GRU,323.5,
Malaybalay,Nov,1953,BiLSTM,323.5,
Malaybalay,Nov,1953,Transformer,323.5,
Malaybalay,Nov,1954,ARIMA,157.2,0.0
Malaybalay,Nov,1954,LSTM,157.2,
Malaybalay,Nov,1954,GRU,157.2,
Malaybalay,Nov,1954,LSTM-GRU,157.2,
Malaybalay,Nov,1954,BiLSTM,157.2,
Malaybalay,Nov,1954,Transformer,157.2,
Malaybalay,Nov,2011,ARIMA,253.7,
Malaybalay,Nov,2011,LSTM,253.7,179.60528564453125
Malaybalay,Nov,2011,GRU,253.7,181.51222229003906
Malaybalay,Nov,2011,LSTM-GRU,253.7,178.1728515625
Malaybalay,Nov,2011,BiLSTM,253.7,180.8390655517578
Malaybalay,Nov,2011,Transformer,253.7,173.59388732910156
Malaybalay,Nov,2012,ARIMA,111.3,
Malaybalay,Nov,2012,LSTM,111.3,178.5504913330078
Malaybalay,Nov,2012,GRU,111.3,181.62533569335938
Malaybalay,Nov,2012,LSTM-GRU,111.3,178.5157012939453
Malaybalay,Nov,2012,BiLSTM,111.3,182.50271606445312
Malaybalay,Nov,2012,Transformer,111.3,173.59388732910156
Malaybalay,Nov,2013,ARIMA,250.0,
Malaybalay,Nov,2013,LSTM,250.0,174.82130432128906
Malaybalay,Nov,2013,GRU,250.0,182.78634643554688
Malaybalay,Nov,2013,LSTM-GRU,250.0,182.5522003173828
Malaybalay,Nov,2013,BiLSTM,250.0,182.18658447265625
Malaybalay,Nov,2013,Transformer,250.0,173.59388732910156
Malaybalay,Dec,1952,ARIMA,305.5,225.65582525141258
Malaybalay,Dec,1952,LSTM,305.5,
Malaybalay,Dec,1952,GRU,305.5,
Malaybalay,Dec,1952,LSTM-GRU,305.5,
Malaybalay,Dec,1952,BiLSTM,305.5,
Malaybalay,Dec,1952,Transformer,305.5,
Malaybalay,Dec,1953,ARIMA,126.5,302.8112599048448
Malaybalay,Dec,1953,LSTM,126.5,
Malaybalay,Dec,1953,GRU,126.5,
Malaybalay,Dec,1953,LSTM-GRU,126.5,
Malaybalay,Dec,1953,BiLSTM,126.5,
Malaybalay,Dec,1953,Transformer,126.5,
Malaybalay,Dec,1954,ARIMA,341.7,0.0
Malaybalay,Dec,1954,LSTM,341.7,
Malaybalay,Dec,1954,GRU,341.7,
Malaybalay,Dec,1954,LSTM-GRU,341.7,
Malaybalay,Dec,1954,BiLSTM,341.7,
Malaybalay,Dec,1954,Transformer,341.7,
Malaybalay,Dec,2011,ARIMA,306.4,
Malaybalay,Dec,2011,LSTM,306.4,129.74803161621094
Malaybalay,Dec,2011,GRU,306.4,126.73661041259766
Malaybalay,Dec,2011,LSTM-GRU,306.4,129.69882202148438
Malaybalay,Dec,2011,BiLSTM,306.4,128.77410888671875
Malaybalay,Dec,2011,Transformer,306.4,119.7380142211914
Malaybalay,Dec,2012,ARIMA,301.6,
Malaybalay,Dec,2012,LSTM,301.6,136.9242706298828
Malaybalay,Dec,2012,GRU,301.6,132.90524291992188
Malaybalay,Dec,2012,LSTM-GRU,301.6,134.2782745361328
Malaybalay,Dec,2012,BiLSTM,301.6,138.30201721191406
Malaybalay,Dec,2012,Transformer,301.6,119.7380142211914
Malaybalay,Dec,2013,ARIMA,86.2,
Malaybalay,Dec,2013,LSTM,86.2,138.25381469726562
Malaybalay,Dec,2013,GRU,86.2,132.56724548339844
Malaybalay,Dec,2013,LSTM-GRU,86.2,135.1163787841797
Malaybalay,Dec,2013,BiLSTM,86.2,142.66610717773438
Malaybalay,Dec,2013,Transformer,86.2,119.7380142211914
Lumbia,Jan,1977,ARIMA,42.9,49.708046784303725
Lumbia,Jan,1977,LSTM,42.9,
Lumbia,Jan,1977,GRU,42.9,
Lumbia,Jan,1977,LSTM-GRU,42.9,
Lumbia,Jan,1977,BiLSTM,42.9,
Lumbia,Jan,1977,Transformer,42.9,
Lumbia,Jan,1978,ARIMA,52.7,42.72419275507269
Lumbia,Jan,1978,LSTM,52.7,
Lumbia,Jan,1978,GRU,52.7,
Lumbia,Jan,1978,LSTM-GRU,52.7,
Lumbia,Jan,1978,BiLSTM,52.7,
Lumbia,Jan,1978,Transformer,52.7,
Lumbia,Jan,1979,ARIMA,16.2,0.0
Lumbia,Jan,1979,LSTM,16.2,
Lumbia,Jan,1979,GRU,16.2,
Lumbia,Jan,1979,LSTM-GRU,16.2,
Lumbia,Jan,1979,BiLSTM,16.2,
Lumbia,Jan,1979,Transformer,16.2,
Lumbia,Jan,2011,ARIMA,181.3,
Lumbia,Jan,2011,LSTM,181.3,131.7274932861328
Lumbia,Jan,2011,GRU,181.3,153.5202178955078
Lumbia,Jan,2011,LSTM-GRU,181.3,140.305908203125
Lumbia,Jan,2011,BiLSTM,181.3,161.8883514404297
Lumbia,Jan,2011,Transformer,181.3,85.58226776123047
Lumbia,Jan,2012,ARIMA,24.2,
Lumbia,Jan,2012,LSTM,24.2,141.30624389648438
Lumbia,Jan,2012,GRU,24.2,143.1737518310547
Lumbia,Jan,2012,LSTM-GRU,24.2,140.7753143310547
Lumbia,Jan,2012,BiLSTM,24.2,166.97927856445312
Lumbia,Jan,2012,Transformer,24.2,85.58226776123047
Lumbia,Jan,2013,ARIMA,211.1,
Lumbia,Jan,2013,LSTM,211.1,145.15927124023438
Lumbia,Jan,2013,GRU,211.1,135.81248474121094
Lumbia,Jan,2013,LSTM-GRU,211.1,138.04261779785156
Lumbia,Jan,2013,BiLSTM,211.1,169.2407684326172
Lumbia,Jan,2013,Transformer,211.1,85.58226776123047
Lumbia,Feb,1977,ARIMA,156.6,98.9314034387444
Lumbia,Feb,1977,LSTM,156.6,
Lumbia,Feb,1977,GRU,156.6,
Lumbia,Feb,1977,LSTM-GRU,156.6,
Lumbia,Feb,1977,BiLSTM,156.6,
Lumbia,Feb,1977,Transformer,156.6,
Lumbia,Feb,1978,ARIMA,33.5,155.8564984672425
Lumbia,Feb,1978,LSTM,33.5,
Lumbia,Feb,1978,GRU,33.5,
Lumbia,Feb,1978,LSTM-GRU,33.5,
Lumbia,Feb,1978,BiLSTM,33.5,
Lumbia,Feb,1978,Transformer,33.5,
Lumbia,Feb,1979,ARIMA,0.8,0.0
Lumbia,Feb,1979,LSTM,0.8,
Lumbia,Feb,1979,GRU,0.8,
Lumbia,Feb,1979,LSTM-GRU,0.8,
Lumbia,Feb,1979,BiLSTM,0.8,
Lumbia,Feb,1979,Transformer,0.8,
Lumbia,Feb,2011,ARIMA,166.3,
Lumbia,Feb,2011,LSTM,166.3,72.43695068359375
Lumbia,Feb,2011,GRU,166.3,78.59626770019531
Lumbia,Feb,2011,LSTM-GRU,166.3,72.49303436279297
Lumbia,Feb,2011,BiLSTM,166.3,71.746826171875
Lumbia,Feb,2011,Transformer,166.3,64.37052154541016
Lumbia,Feb,2012,ARIMA,122.9,
Lumbia,Feb,2012,LSTM,122.9,72.26043701171875
Lumbia,Feb,2012,GRU,122.9,74.02570343017578
