Location,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Kisolon,1988, 1 , 4 , 48 , 21 , 137 , 155 , 257 , 75 , 392 , 293 , 510 , 249 
Kisolon,1989, 74 , 67 , 203 , 95 , 232 , 348 , 432 , 448 , 322 , 202 , 233 , 47 
Kisolon,1990, 130 , 12 , 33 , 58 , 278 , 207 , 338 , 155 , 339 , 257 , 430 , 40 
Kisolon,1991, 180 , 82 , 90 , 310 , 58 , 187 , 265 , 140 , 176 , 219 , 116 , 13 
Kisolon,1992, 30 , 15 , 8 , 18 , 172 , 233 , 435 , 167 , 315 , 321 , 84 , 137 
Kisolon,1993, 19 , 217 , 112 , 102 , 52 , 251 , 193 , 257 , 280 , 289 , 183 , 309 
Kisolon,1994, 70 , 109 , 123 , 185 , 201 , 348 , 177 , 266 , 458 , 97 , 102 , 117 
Kisolon,1995, 242 , 89 , 170 , 47 , 138 , 373 , 370 , 363 , 229 , 185 , 160 , 393 
Kisolon,1996, 340 , 212 , 108 , 243 , 242 , 331 , 315 , 218 , 241 , 143 , 148 , 97 
Kisolon,1997, 144 , 107 , 119 , 87 , 95 , 380 , 224 , 163 , 331 , 206 , 37 , 75 
Kisolon,1998, 30 , 30 , 6 , 21 , 146 , 256 , 300 , 213 , 276 , 190 , 188 , 98 
Kisolon,1999, 240 , 233 , 144 , 298 , 288 , 244 , 322 , 189 , 201 , 231 , 109 , 157 
Kisolon,2000, 97 , 180 , 153 , 117 , 208 , 325 , 126 , 183 , 79 , 235 , 182 , 113 
Kisolon,2001, 27 , 38 , 169 , 180 , 519 , 318 , 238 , 290 , 98 , 100 , 306 , 139 
Kisolon,2002, 107 , 100 , 44 , 34 , 158 , 139 , 56 , 231 , 248 , 219 , 71 , 18 
Kisolon,2003, 78 , 89 , 96 , 114 , 220 , 133 , 395 , 343 , 183 , 342 , 95 , 391 
Kisolon,2004, 60 , 181 , 69 , 34 , 246 , 283 , 343 , 196 , 294 , 189 , 20 , 126 
Kisolon,2005, 63 , 9 , 67 , 16 , 351 , 481 , 286 , 224 , 262 , 231 , 162 , 139 
Kisolon,2006, 163 , 91 , 91 , 31 , 349 , 303 , 249 , 161 , 205 , 223 , 105 , 61 
PhilipsManolo,1956, 171.9 , 183.9 , 98.5 , 151.5 , 629.3 , 422.6 , 333.7 , 379.2 , 292.2 , 643.8 , 120.0 , 129.3 
PhilipsManolo,1957, 53.0 , 40.2 , 139.2 , 161.0 , 53.9 , 251.0 , 263.4 , 390.7 , 315.7 , 117.5 , 184.8 , 40.9 
PhilipsManolo,1958, 23.1 , 38.9 , 30.9 , 102.0 , 164.6 , 276.0 , 345.5 , 292.9 , 221.3 , 160.5 , 435.8 , 124.8 
PhilipsManolo,1959, 73.4 , 8.3 , 97.0 , 23.1 , 271.8 , 440.9 , 527.7 , 203.2 , 225.2 , 126.6 , 65.7 , 79.3 
PhilipsManolo,1960, 82.7 , 161.3 , 187.8 , 244.8 , 190.3 , 333.4 , 590.2 , 260.5 , 404.0 , 224.6 , 301.0 , 169.9 
PhilipsManolo,1961, 254.5 , 73.1 , 118.4 , 114.7 , 376.9 , 233.9 , 383.3 , 317.6 , 195.6 , 207.9 , 147.4 , 129.6 
PhilipsManolo,1962, 172.8 , 277.0 , 179.1 , 60.3 , 211.7 , 368.2 , 228.3 , 344.8 , 387.5 , 99.3 , 233.2 , 167.9 
PhilipsManolo,1963, 251.4 , 123.4 , 166.7 , 31.3 , 112.2 , 272.2 , 235.8 , 368.2 , 263.5 , 207.8 , 52.3 , 121.2 
PhilipsManolo,1964, 55.1 , 180.7 , 37.8 , 476.3 , 533.9 , 401.1 , 276.4 , 138.9 , 497.8 , 224.7 , 326.7 , 158.0 
PhilipsManolo,1965, 140.9 , 107.2 , 97.7 , 166.6 , 265.8 , 341.9 , 321.8 , 396.5 , 320.0 , 200.9 , 83.7 , 90.0 
PhilipsManolo,1966, 40.2 , 49.8 , 50.9 , 98.4 , 349.3 , 234.7 , 423.7 , 222.5 , 172.6 , 251.7 , 167.1 , 105.0 
PhilipsManolo,1967, 149.6 , 155.1 , 126.0 , 167.4 , 163.6 , 301.7 , 226.6 , 302.4 , 289.6 , 135.9 , 118.9 , 62.7 
PhilipsManolo,1968, 140.6 , 55.2 , 70.8 , 61.8 , 92.3 , 330.4 , 220.4 , 339.2 , 183.7 , 166.3 , 64.6 , 162.5 
PhilipsManolo,1969, 40.7 , 34.7 , 114.8 , 102.8 , 302.1 , 346.0 , 292.9 , 374.3 , 241.4 , 113.5 , 105.8 , 107.0 
PhilipsManolo,1970, 110.3 , 92.4 , 125.6 , 24.5 , 209.9 , 501.7 , 373.9 , 295.8 , 266.5 , 347.8 , 180.6 , 160.2 
PhilipsManolo,1971, 78.1 , 243.3 , 156.7 , 148.6 , 300.3 , 358.7 , 321.8 , 506.9 , 342.9 , 348.8 , 287.8 , 55.6 
PhilipsManolo,1972, 138.5 , 75.4 , 179.3 , 105.1 , 285.9 , 255.5 , 112.9 , 353.2 , 339.0 , 90.2 , 167.8 , 247.7 
PhilipsManolo,1973, 5.1 , 16.5 , 9.5 , 155.8 , 241.8 , 382.5 , 380.9 , 394.9 , 521.7 , 254.4 , 413.3 , 183.3 
PhilipsManolo,1974, 208.3 , 246.9 , 65.3 , 101.1 , 278.5 , 339.0 , 353.4 , 279.5 , 300.8 , 284.4 , 98.1 , 162.7 
PhilipsManolo,1975, 182.0 , 48.3 , 93.7 , 231.0 , 383.5 , 485.5 , 371.2 , 139.2 , 453.3 , 262.4 , 174.2 , 128.6 
PhilipsManolo,1976, 270.0 , 83.7 , 86.5 , 29.2 , 136.8 , 355.5 , 119.3 , 258.2 , 131.5 , 224.5 , 290.5 , 143.3 
PhilipsManolo,1977, 186.6 , 222.3 , 103.1 , 39.1 , 261.6 , 224.5 , 492.4 , 332.7 , 65.7 , 121.2 , 202.6 , 28.8 
PhilipsManolo,1978, 90.0 , 86.3 , 53.5 , 145.2 , 247.5 , 454.4 , 267.7 , 321.9 , 317.2 , 269.4 , 185.3 , 162.5 
